condition medium, random seed 649601
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
18.8, 0, 0, 0, 0, 0, 0, 1, 0.2331002, 0.51609, 0.3369556, -0.3915339, 0.481886, 0.05289882, -0.7821054, 0.001594329, 1.169419, 0.1388012, -0.08715568, 0, 0, -0.9961947, 0.1718097, 0.4659841, 0.3641396, -0.3753276, -0.06047294, -0.5988681, -0.7048612
18.85, 0, 0, 0, 0, 0, 0, 1, 0.1932284, 0.4518418, 0.1948672, -0.5406302, 0.4486347, 0.3228999, -0.6341779, 0.001594328, 1.169398, 0.1388268, -0.08715568, 0, 0, -0.9961947, 0.1206746, 0.4103859, 0.199711, -0.6087091, 0.1398915, -0.4677631, -0.6253809
18.9, 0, 0, 0, 0, 0, 0, 1, 0.1690609, 0.4401206, 0.1525866, -0.5486361, 0.4514759, 0.3478521, -0.6116918, 0.001594328, 1.169377, 0.1388524, -0.08715568, 0, 0, -0.9961947, 0.09481605, 0.4015515, 0.1550828, -0.622146, 0.1660928, -0.4510823, -0.6179583
18.95, 0, 0, 0, 0, 0, 0, 1, 0.1636998, 0.4581822, 0.1878037, -0.5004581, 0.4883195, 0.3189582, -0.6398057, 0.001594329, 1.1694, 0.1388247, -0.08715568, 0, 0, -0.9961947, 0.08829354, 0.4224236, 0.1942318, -0.5703304, 0.148287, -0.4582311, -0.665401
19, 0, 0, 0, 0, 0, 0, 1, 0.1771665, 0.504266, 0.2697817, -0.4212659, 0.5193819, 0.2678204, -0.6935775, 0.001594329, 1.169407, 0.1388159, -0.08715568, 0, 0, -0.9961947, 0.1015919, 0.4716036, 0.284873, -0.4939953, 0.09426408, -0.465644, -0.7281886
19.05, 0, 0, 0, 0, 0, 0, 1, 0.193971, 0.5960973, 0.3795094, -0.3162311, 0.5446498, 0.1867414, -0.7539776, 0.001594329, 1.169428, 0.1387904, -0.08715568, 0, 0, -0.9961947, 0.1191562, 0.5683439, 0.4047798, -0.3857398, 0.0154444, -0.4758095, -0.7902985
19.1, 0, 0, 0, 0, 0, 0, 1, 0.1986269, 0.7340338, 0.4792775, -0.2033452, 0.5592093, 0.07450239, -0.8002406, 0.001594329, 1.169471, 0.1387381, -0.08715568, 0, 0, -0.9961947, 0.1251741, 0.7119454, 0.5127871, -0.2514391, -0.07293916, -0.4933007, -0.8295257
19.15, 0, 0, 0, 0, 0, 0, 1, 0.1750086, 0.9040079, 0.5390753, -0.06783363, 0.5736862, -0.08585505, -0.8117337, 0.001594328, 1.169563, 0.1386255, -0.08715568, 0, 0, -0.9961947, 0.1014808, 0.888872, 0.5760978, -0.06134968, -0.1604686, -0.5164583, -0.8389022
19.2, 0, 0, 0, 0, 0, 0, 1, 0.1149704, 1.083709, 0.5364544, 0.1097446, 0.5713375, -0.2849837, -0.7617834, 0.00159433, 1.169622, 0.1385513, -0.08715568, 0, 0, -0.9961947, 0.03877382, 1.077428, 0.5705236, 0.1939651, -0.2437329, -0.5137527, -0.7993935
19.25, 0, 0, 0, 0, 0, 0, 1, 0.03681665, 1.23153, 0.4522325, 0.3239087, 0.5214195, -0.4668886, -0.6365688, 0.00159433, 1.169637, 0.1385336, -0.08715568, 0, 0, -0.9961947, -0.04369391, 1.235177, 0.4748345, 0.470032, -0.3148509, -0.4395313, -0.6976755
19.3, 0, 0, 0, 0, 0, 0, 1, -0.0179539, 1.292783, 0.3310001, -0.5177685, -0.436918, 0.5539839, 0.4838599, 0.001594329, 1.169649, 0.1385188, -0.08715568, 0, 0, -0.9961947, -0.1008489, 1.30377, 0.3347145, -0.6702721, 0.3555436, 0.2991418, 0.5786521
19.35, 0, 0, 0, 0, 0, 0, 1, -0.03100325, 1.288654, 0.2632199, -0.6459132, -0.3668017, 0.5389933, 0.3971635, 0.001594329, 1.169648, 0.1385199, -0.08715568, 0, 0, -0.9961947, -0.1115079, 1.306716, 0.2491181, -0.7474911, 0.3786844, 0.1600604, 0.5217624
19.4, 0, 0, 0, 0, 0, 0, 1, -0.02062593, 1.25937, 0.2817059, -0.6842042, -0.3475363, 0.4782111, 0.4270799, 0.001594329, 1.169629, 0.1385435, -0.08715568, 0, 0, -0.9961947, -0.09656851, 1.288455, 0.2618842, -0.7180544, 0.4032654, 0.09993359, 0.55838
19.45, 0, 0, 0, 0, 0, 0, 1, -0.007321651, 1.191789, 0.3581293, -0.6105046, -0.4117878, 0.3980839, 0.5470321, 0.001594329, 1.169597, 0.1385831, -0.08715568, 0, 0, -0.9961947, -0.08162057, 1.229269, 0.3491279, -0.6027002, 0.3927675, 0.1517083, 0.6778428
19.5, 0, 0, 0, 0, 0, 0, 1, 0.0085016, 1.058915, 0.4591989, 0.4151053, 0.5141278, -0.2706294, -0.7000856, 0.00159433, 1.16954, 0.1386525, -0.08715568, 0, 0, -0.9961947, -0.0666796, 1.092922, 0.4732495, 0.380864, -0.3282348, -0.2728677, -0.8202121
19.55, 0, 0, 0, 0, 0, 0, 1, 0.03385377, 0.8644954, 0.5098487, 0.1440443, 0.5753472, -0.07962353, -0.8011785, 0.001594329, 1.169515, 0.1386837, -0.08715568, 0, 0, -0.9961947, -0.0413645, 0.8805152, 0.5428892, 0.07340492, -0.2145541, -0.3739358, -0.8993056
